add,,,
HashFunctor,ProblemSize,AverageTimeNS,
BadHashFunctor,20000,1.51E+08,
BadHashFunctor,30000,3.88E+08,
BadHashFunctor,40000,7.94E+08,
BadHashFunctor,50000,1.37E+09,
BadHashFunctor,60000,2.14E+09,
BadHashFunctor,70000,3.00E+09,
BadHashFunctor,80000,4.68E+09,
BadHashFunctor,90000,5.56E+09,
BadHashFunctor,100000,6.91E+09,
BadHashFunctor,110000,7.27E+09,
,,,
MediocreHashFunctor,20000,2.92E+07,
MediocreHashFunctor,30000,7.40E+07,
MediocreHashFunctor,40000,1.55E+08,
MediocreHashFunctor,50000,2.98E+08,
MediocreHashFunctor,60000,3.50E+08,
MediocreHashFunctor,70000,5.96E+08,
MediocreHashFunctor,80000,8.45E+08,
MediocreHashFunctor,90000,9.57E+08,
MediocreHashFunctor,100000,4.57E+08,
MediocreHashFunctor,110000,6.85E+08,
,,,
GoodHashFunctor,20000,151316.6,
GoodHashFunctor,30000,234308.2,
GoodHashFunctor,40000,318862.5,
GoodHashFunctor,50000,411783.3,
GoodHashFunctor,60000,492395.8,
GoodHashFunctor,70000,581741.6,
GoodHashFunctor,80000,649316.7,
GoodHashFunctor,90000,793899.9,
GoodHashFunctor,100000,1933608.4,
GoodHashFunctor,110000,868979.1,
,,,
,,,
problem size,bad,mediocre,good
20000,1.51E+08,2.92E+07,151316.6
30000,3.88E+08,7.40E+07,234308.2
40000,7.94E+08,1.55E+08,318862.5
50000,1.37E+09,2.98E+08,411783.3
60000,2.14E+09,3.50E+08,492395.8
70000,3.00E+09,5.96E+08,581741.6
80000,4.68E+09,8.45E+08,649316.7
90000,5.56E+09,9.57E+08,793899.9
100000,6.91E+09,4.57E+08,1933608.4
110000,7.27E+09,6.85E+08,868979.1
,,,
,,,
,,,
contains,,,
HashFunctor,ProblemSize,AverageTimeNS,
,,,
BadHashFunctor,20000,1.68E+08,
BadHashFunctor,30000,4.31E+08,
BadHashFunctor,40000,8.83E+08,
BadHashFunctor,50000,1.51E+09,
BadHashFunctor,60000,2.38E+09,
BadHashFunctor,70000,3.45E+09,
BadHashFunctor,80000,4.75E+09,
BadHashFunctor,90000,6.15E+09,
BadHashFunctor,100000,7.89E+09,
BadHashFunctor,110000,7.74E+09,
,,,
MediocreHashFunctor,20000,2.51E+07,
MediocreHashFunctor,30000,3.92E+07,
MediocreHashFunctor,40000,1.62E+08,
MediocreHashFunctor,50000,1.06E+08,
MediocreHashFunctor,60000,3.94E+08,
MediocreHashFunctor,70000,2.58E+08,
MediocreHashFunctor,80000,7.83E+08,
MediocreHashFunctor,90000,6.88E+08,
MediocreHashFunctor,100000,1.08E+09,
MediocreHashFunctor,110000,1.14E+09,
,,,
GoodHashFunctor,20000,227029.2,
GoodHashFunctor,30000,200891.8,
GoodHashFunctor,40000,268662.5,
GoodHashFunctor,50000,376524.9,
GoodHashFunctor,60000,434724.9,
GoodHashFunctor,70000,482304.1,
GoodHashFunctor,80000,581595.8,
GoodHashFunctor,90000,655075.1,
GoodHashFunctor,100000,732570.8,
GoodHashFunctor,110000,779516.7,
,,,
,,,
problem size,bad,mediocre,good
20000,1.68E+08,2.51E+07,227029.2
30000,4.31E+08,3.92E+07,200891.8
40000,8.83E+08,1.62E+08,268662.5
50000,1.51E+09,1.06E+08,376524.9
60000,2.38E+09,3.94E+08,434724.9
70000,3.45E+09,2.58E+08,482304.1
80000,4.75E+09,7.83E+08,581595.8
90000,6.15E+09,6.88E+08,655075.1
100000,7.89E+09,1.08E+09,732570.8
110000,7.74E+09,1.14E+09,779516.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
remove,,,
HashFunctor,ProblemSize,AverageTimeNS,
,,,
BadHashFunctor,20000,45566.7,
BadHashFunctor,30000,64258.3,
BadHashFunctor,40000,87158.2,
BadHashFunctor,50000,89208.3,
BadHashFunctor,60000,135254.1,
BadHashFunctor,70000,134179.2,
BadHashFunctor,80000,148249.9,
BadHashFunctor,90000,190900.1,
BadHashFunctor,100000,205729.1,
BadHashFunctor,110000,310437.5,
,,,
MediocreHashFunctor,20000,224633.3,
MediocreHashFunctor,30000,1362595.7,
MediocreHashFunctor,40000,268870.8,
MediocreHashFunctor,50000,541529.2,
MediocreHashFunctor,60000,393087.5,
MediocreHashFunctor,70000,622983.3,
MediocreHashFunctor,80000,1018129.2,
MediocreHashFunctor,90000,531745.8,
MediocreHashFunctor,100000,865629.3,
MediocreHashFunctor,110000,645170.9,
,,,
GoodHashFunctor,20000,185512.5,
GoodHashFunctor,30000,191483.4,
GoodHashFunctor,40000,263029.1,
GoodHashFunctor,50000,377079.2,
GoodHashFunctor,60000,426408.3,
GoodHashFunctor,70000,463012.6,
GoodHashFunctor,80000,521620.8,
GoodHashFunctor,90000,650241.8,
GoodHashFunctor,100000,725391.8,
GoodHashFunctor,110000,702175,
,,,
,,,
problem size,bad,mediocre,good
20000,45566.7,224633.3,185512.5
30000,64258.3,1362595.7,191483.4
40000,87158.2,268870.8,263029.1
50000,89208.3,541529.2,377079.2
60000,135254.1,393087.5,426408.3
70000,134179.2,622983.3,463012.6
80000,148249.9,1018129.2,521620.8
90000,190900.1,531745.8,650241.8
100000,205729.1,865629.3,725391.8
110000,310437.5,645170.9,702175