TreeSet,permuted,
Problem Size,Average Time (ns),
10000,1142025,
20000,904787.6,
30000,1304804.1,
40000,1864224.9,
50000,2188795.8,
60000,2654437.4,
70000,3181770.8,
80000,3670004.2,
90000,4168162.5,
100000,4620904.1,
110000,5065650,
120000,5548308.4,
130000,5982475,
140000,6568166.7,
150000,7218229.2,
160000,7748958.3,
170000,8268283.3,
180000,8753562.6,
190000,9177883.4,
200000,9661033.3,
,,
treeset,sorted,
Problem Size,Average Time (ns),
10000,1134504.3,
20000,860129.2,
30000,1309095.7,
40000,1757958.4,
50000,2242375,
60000,2768345.8,
70000,3210495.8,
80000,3664958.4,
90000,4242333.4,
100000,4779300,
110000,5458754.2,
120000,5820512.5,
130000,6496925,
140000,6821999.9,
150000,7343020.9,
160000,7699700,
170000,8563683.4,
180000,8974562.5,
190000,9795008.4,
200000,1.03E+07,
,,
Problem Size,permuted,sorted
10000,1142025,1134504.3
20000,904787.6,860129.2
30000,1304804.1,1309095.7
40000,1864224.9,1757958.4
50000,2188795.8,2242375
60000,2654437.4,2768345.8
70000,3181770.8,3210495.8
80000,3670004.2,3664958.4
90000,4168162.5,4242333.4
100000,4620904.1,4779300
110000,5065650,5458754.2
120000,5548308.4,5820512.5
130000,5982475,6496925
140000,6568166.7,6821999.9
150000,7218229.2,7343020.9
160000,7748958.3,7699700
170000,8268283.3,8563683.4
180000,8753562.6,8974562.5
190000,9177883.4,9795008.4
200000,9661033.3,1.03E+07
,,
,,
,,
heap,permuted,
Problem Size,Average Time (ns),
10000,424154.1,
20000,383683.3,
30000,580600.1,
40000,798387.6,
50000,1028779.2,
60000,1699008.4,
70000,1435799.9,
80000,1689308.4,
90000,2013904.2,
100000,3124383.3,
110000,2381287.4,
120000,5007300.1,
130000,2717845.9,
140000,3103475.1,
150000,3297858.3,
160000,3390829.2,
170000,4708704.1,
180000,3984679.3,
190000,5172816.6,
200000,4592879.2,
,,
,,
,,
,,
heap,sorted,
Problem Size,Average Time (ns),
10000,355933.4,
20000,237741.6,
30000,218708.4,
40000,288445.8,
50000,528450,
60000,963125,
70000,508120.9,
80000,569941.6,
90000,701437.4,
100000,1705470.9,
110000,815912.5,
120000,3183133.4,
130000,931200,
140000,1058412.5,
150000,1118541.7,
160000,1163091.7,
170000,2061779.1,
180000,1236370.7,
190000,4252945.9,
200000,2583300,
,,
,,
,,
,,
heap,,
Problem Size,sorted,permuted
10000,355933.4,424154.1
20000,237741.6,383683.3
30000,218708.4,580600.1
40000,288445.8,798387.6
50000,528450,1028779.2
60000,963125,1699008.4
70000,508120.9,1435799.9
80000,569941.6,1689308.4
90000,701437.4,2013904.2
100000,1705470.9,3124383.3
110000,815912.5,2381287.4
120000,3183133.4,5007300.1
130000,931200,2717845.9
140000,1058412.5,3103475.1
150000,1118541.7,3297858.3
160000,1163091.7,3390829.2
170000,2061779.1,4708704.1
180000,1236370.7,3984679.3
190000,4252945.9,5172816.6
200000,2583300,4592879.2
,,
,,
,heap,
Problem Size,Average Time (ns),
10000,376595.8,
20000,138562.6,
30000,217429.2,
40000,289483.4,
50000,374095.8,
60000,454804.1,
70000,539533.4,
80000,599983.3,
90000,698629.1,
100000,757625,
110000,865658.4,
120000,929820.8,
130000,1026441.6,
140000,1094029.2,
150000,1181720.9,
160000,1280750.1,
170000,1401816.6,
180000,1543916.6,
190000,1671404.2,
200000,1677179.3,
,,
,,
,,
,TreeSet,
Problem Size,Average Time (ns),
10000,284975.1,
20000,42341.6,
30000,75370.9,
40000,69100.1,
50000,83358.4,
60000,100383.3,
70000,127908.4,
80000,136858.3,
90000,163000,
100000,182587.5,
110000,191529.2,
120000,236808.3,
130000,250491.7,
140000,259283.3,
150000,293258.4,
160000,317733.3,
170000,362245.8,
180000,345137.4,
190000,349687.5,
200000,388958.3,
,,
,,
,,
,,
,,
Problem Size,TreeSet,heap
10000,284975.1,376595.8
20000,42341.6,138562.6
30000,75370.9,217429.2
40000,69100.1,289483.4
50000,83358.4,374095.8
60000,100383.3,454804.1
70000,127908.4,539533.4
80000,136858.3,599983.3
90000,163000,698629.1
100000,182587.5,757625
110000,191529.2,865658.4
120000,236808.3,929820.8
130000,250491.7,1026441.6
140000,259283.3,1094029.2
150000,293258.4,1181720.9
160000,317733.3,1280750.1
170000,362245.8,1401816.6
180000,345137.4,1543916.6
190000,349687.5,1671404.2
200000,388958.3,1677179.3